x,y,time,label
1020,746,1770701889.0124965,human
1012,749,1770701889.0191586,human
1005,753,1770701889.0254948,human
998,754,1770701889.03243,human
993,755,1770701889.0387316,human
987,755,1770701889.0449333,human
984,755,1770701889.052105,human
979,755,1770701889.058198,human
976,755,1770701889.0652676,human
973,753,1770701889.0716476,human
969,750,1770701889.0783122,human
965,747,1770701889.0849957,human
960,740,1770701889.091305,human
955,732,1770701889.0981421,human
952,722,1770701889.104043,human
951,708,1770701889.1106617,human
951,695,1770701889.1179767,human
951,677,1770701889.124217,human
956,648,1770701889.1308444,human
968,613,1770701889.1373453,human
980,582,1770701889.1439676,human
997,549,1770701889.150422,human
1018,515,1770701889.15736,human
1038,485,1770701889.1634068,human
1065,456,1770701889.1703084,human
1084,436,1770701889.1766038,human
1105,414,1770701889.1836448,human
1125,401,1770701889.189881,human
1145,389,1770701889.196784,human
1165,377,1770701889.20327,human
1185,373,1770701889.2093916,human
1199,369,1770701889.2165093,human
1215,366,1770701889.2230108,human
1227,366,1770701889.2294097,human
1239,368,1770701889.236235,human
1248,371,1770701889.2424192,human
1255,375,1770701889.249118,human
1260,378,1770701889.2555816,human
1262,381,1770701889.2624736,human
1263,385,1770701889.2691813,human
1264,389,1770701889.2754238,human
1266,396,1770701889.2821405,human
1267,408,1770701889.288838,human
1267,419,1770701889.295314,human
1266,434,1770701889.3019211,human
1262,451,1770701889.308277,human
1256,473,1770701889.3149662,human
1245,499,1770701889.3216999,human
1236,518,1770701889.3278263,human
1223,535,1770701889.334477,human
1213,546,1770701889.3408556,human
1204,557,1770701889.3475628,human
1193,567,1770701889.3542535,human
1182,576,1770701889.3606098,human
1169,586,1770701889.367513,human
1158,594,1770701889.3742552,human
1146,601,1770701889.3804324,human
1134,606,1770701889.3871803,human
1123,612,1770701889.3934965,human
1111,616,1770701889.400119,human
1101,618,1770701889.406837,human
1089,620,1770701889.4132197,human
1080,620,1770701889.4197938,human
1070,618,1770701889.4263656,human
1061,616,1770701889.4332688,human
1052,611,1770701889.4399238,human
1043,607,1770701889.4463718,human
1034,600,1770701889.4527738,human
1028,595,1770701889.459362,human
1020,588,1770701889.4664116,human
1015,580,1770701889.4730625,human
1009,571,1770701889.4791775,human
1006,562,1770701889.4860625,human
1004,550,1770701889.4925282,human
1002,538,1770701889.4990988,human
1003,523,1770701889.5059748,human
1007,504,1770701889.511827,human
1014,477,1770701889.5186455,human
1029,442,1770701889.525278,human
1041,419,1770701889.532067,human
1058,400,1770701889.5384665,human
1076,378,1770701889.5449395,human
1098,363,1770701889.5513244,human
1112,353,1770701889.557999,human
1127,346,1770701889.5647025,human
1141,342,1770701889.5712476,human
1156,339,1770701889.5779378,human
1168,338,1770701889.5845978,human
1180,339,1770701889.5910697,human
1187,340,1770701889.597541,human
1194,344,1770701889.6043758,human
1205,349,1770701889.610818,human
1213,359,1770701889.61724,human
1219,366,1770701889.6240067,human
1227,377,1770701889.630716,human
1233,391,1770701889.637077,human
1235,404,1770701889.6433823,human
1238,416,1770701889.6501317,human
1238,430,1770701889.6569808,human
1239,445,1770701889.663672,human
1239,461,1770701889.670106,human
1238,476,1770701889.67646,human
1235,493,1770701889.6833444,human
1231,508,1770701889.6898904,human
1226,524,1770701889.696658,human
1220,538,1770701889.7029648,human
1214,553,1770701889.709221,human
1207,565,1770701889.7160141,human
1200,578,1770701889.7228155,human
1193,585,1770701889.7294867,human
1186,591,1770701889.736015,human
1179,598,1770701889.7422702,human
1171,603,1770701889.7491722,human
1167,606,1770701889.755589,human
1163,607,1770701889.762384,human
1160,608,1770701889.7688062,human
1156,609,1770701889.7753158,human
1151,610,1770701889.7821627,human
1146,610,1770701889.788384,human
1138,608,1770701889.795312,human
1129,602,1770701889.8018324,human
1117,596,1770701889.808055,human
1108,588,1770701889.8145888,human
1100,580,1770701889.8213158,human
1092,571,1770701889.8279772,human
1087,565,1770701889.8347032,human
1082,559,1770701889.8407753,human
1077,551,1770701889.8477879,human
1071,543,1770701889.8545227,human
1067,534,1770701889.8610404,human
1065,527,1770701889.8676846,human
1061,518,1770701889.874123,human
1060,510,1770701889.8809986,human
1059,503,1770701889.8871562,human
1057,492,1770701889.893693,human
1057,486,1770701889.9006202,human
1058,474,1770701889.9074206,human
1062,459,1770701889.9138474,human
1066,445,1770701889.92004,human
1073,429,1770701889.9266186,human
1081,420,1770701889.9334443,human
1089,411,1770701889.9401686,human
1098,403,1770701889.946674,human
1110,397,1770701889.952785,human
1121,392,1770701889.959506,human
1131,388,1770701889.966307,human
1142,386,1770701889.9728053,human
1149,386,1770701889.9795566,human
1157,386,1770701889.9859555,human
1164,388,1770701889.9923034,human
1172,393,1770701889.999336,human
1181,400,1770701890.006025,human
1186,406,1770701890.012452,human
1191,415,1770701890.0189605,human
1195,422,1770701890.0251298,human
1196,431,1770701890.032338,human
1197,443,1770701890.038664,human
1197,453,1770701890.0451384,human
1197,465,1770701890.0518942,human
1196,481,1770701890.058293,human
1191,498,1770701890.0648038,human
1187,515,1770701890.0715795,human
1182,529,1770701890.078149,human
1175,541,1770701890.0847645,human
1169,555,1770701890.091024,human
1164,565,1770701890.0980299,human
1157,575,1770701890.1043856,human
1151,585,1770701890.1105328,human
1146,593,1770701890.117811,human
1141,600,1770701890.1245005,human
1136,608,1770701890.130919,human
1130,613,1770701890.1374927,human
1122,616,1770701890.1436956,human
1116,620,1770701890.1506078,human
1111,622,1770701890.1572886,human
1105,624,1770701890.1638105,human
1098,626,1770701890.1701672,human
1093,626,1770701890.1766868,human
1088,626,1770701890.1835856,human
1079,623,1770701890.1898034,human
1071,619,1770701890.1968207,human
1064,616,1770701890.2031245,human
1058,611,1770701890.209693,human
1050,606,1770701890.2166646,human
1044,600,1770701890.2226722,human
1040,594,1770701890.229599,human
1036,588,1770701890.2363381,human
1034,582,1770701890.2424188,human
1030,576,1770701890.2489903,human
1029,571,1770701890.2559543,human
1029,564,1770701890.2620769,human
1029,552,1770701890.2690175,human
1033,542,1770701890.2751775,human
1037,530,1770701890.2822824,human
1043,516,1770701890.288342,human
1051,504,1770701890.2948923,human
1058,493,1770701890.3017147,human
1069,483,1770701890.3082225,human
1077,475,1770701890.315089,human
1089,469,1770701890.3214226,human
1098,465,1770701890.32823,human
1108,461,1770701890.3347223,human
1119,460,1770701890.340964,human
1129,460,1770701890.3480606,human
1136,460,1770701890.3545759,human
1143,461,1770701890.3605728,human
1148,463,1770701890.3677258,human
1151,465,1770701890.3736587,human
