velocity,acceleration,label
332.35581921043547,14952.101545429774,human
160.43698121868186,-27582.139382020585,human
278.84878502808897,16509.493812618803,human
216.7443125485337,-9518.216733251307,human
343.9849206784991,19574.025000621546,human
157.73397014027302,-29378.101870794024,human
224.87078631873996,10675.267899181463,human
292.9085512762317,9964.421582885838,human
333.89401054858763,6120.028330231745,human
148.3921457633115,-27527.0197585828,human
367.3187193944808,35963.0518735561,human
342.9409412863565,-3738.76745027125,human
453.1914387930049,15800.188017020037,human
641.1199309895937,28398.51659223668,human
660.5683097830172,2872.672663993912,human
683.3083576044063,3474.5063399309183,human
798.519590298138,18399.685265668424,human
928.1703176455476,19027.10162057905,human
951.337960059882,3484.870723318479,human
803.9560161619529,-23237.52638218403,human
608.0502942213936,-28890.972650686526,human
623.7082417120733,2368.6007066017905,human
449.06895074946465,-26141.694384069717,human
471.37603955945156,3505.0090591175294,human
748.9293621884151,41573.56657795701,human
1010.2583442295781,37715.68352801522,human
1089.9745684519887,12287.911728076206,human
1469.1528511607228,60422.81782144957,human
1140.2163565738922,-51518.28435367894,human
986.0645185603208,-24033.88858775089,human
1033.3295617959488,6772.94020851956,human
1154.4641151114033,18362.613087181464,human
1175.785558905064,3209.813610047227,human
1130.5686733342968,-7229.572066367197,human
1200.343023584844,10723.492592916034,human
1558.1925542880595,51549.99718459332,human
1502.580783836068,-8356.117763626497,human
1264.7423457389598,-35450.131921266984,human
2203.2480655262466,152024.8057207236,human
1803.2588032409558,-63260.805533945866,human
1885.100192260889,11467.48397580883,human
1584.6624645627023,-44787.004657215475,human
1183.7306300734979,-60765.70055378363,human
1145.5348359568013,-6067.673069228377,human
512.9381173777892,-102610.52467796522,human
319.55940108008036,-27636.005427181353,human
452.3135986196484,20015.509606995234,human
334.4774915227988,-17626.26445580402,human
345.4546709749633,1695.8866877207734,human
322.4899277256651,-3702.9491953523125,human
41.20826368834508,-888.9990110673718,human
2475.48940344252,423990.49547757546,human
2165.0930469121836,-45516.08851451305,human
2298.695674560596,20119.561810866282,human
2886.5575745354704,87862.00757268342,human
3485.9304025137076,97311.75388559388,human
2488.194742043643,-135233.69434972477,human
3324.668847135964,132278.65192041403,human
2400.4091794577,-150262.64666001062,human
2323.0195377147884,-10860.765012241452,human
2241.407757059984,-12683.585965894816,human
2146.37028331907,-14246.972953336779,human
1670.9572516924313,-71052.83566860523,human
2087.4337172103988,68729.497372831,human
2241.9980769269987,22751.005868284752,human
1884.8215215852076,-53728.331053914415,human
1576.5911557713612,-46545.88141330259,human
1369.0767284617236,-30815.315720393766,human
1529.3512767109164,25837.503990306028,human
1227.3018288222386,-46338.22997356521,human
727.7229509334444,-72711.00304825044,human
625.8525773722733,-15463.06149786892,human
443.5131648514328,-26956.643308089653,human
335.36992763762845,-18133.994819446227,human
275.6056115911555,-8235.690437657646,human
152.33180794653882,-18778.521381631082,human
76.02095227738205,-5801.223917071156,human
338.9336565656566,44554.982110995035,human
878.2656522649543,78946.12783170055,human
1718.4384441392126,126628.34099857592,human
2336.9430261390644,91415.75312919538,human
2418.360851515635,12579.331441715567,human
3015.5932163013913,91432.42313210774,human
3298.6191909704935,43624.02534391129,human
3766.3906827159562,68268.75809575703,human
3345.9204609910466,-66173.12419277607,human
4188.712477585138,133716.36882919745,human
3733.1467513746047,-67811.09900304297,human
3527.89447351165,-29963.81782916368,human
3360.7380570433143,-24998.3892968269,human
3085.6008310942184,-41180.78604529124,human
2699.6153659441597,-61189.06872857932,human
1995.0222092129816,-108129.15354909105,human
1511.6243197462788,-73071.60058318914,human
